2025-07-10 20:57:28,774 - INFO - Train: [1/10][1/45]	eta 0:02:51	loss 0.1591	
2025-07-10 20:57:28,783 - INFO - Train: [1/10][2/45]	eta 0:01:27	loss 0.0951	
2025-07-10 20:57:28,790 - INFO - Train: [1/10][3/45]	eta 0:00:59	loss 0.0634	
2025-07-10 20:57:28,800 - INFO - Train: [1/10][4/45]	eta 0:00:45	loss 0.0787	
2025-07-10 20:57:28,808 - INFO - Train: [1/10][5/45]	eta 0:00:36	loss 0.0143	
2025-07-10 20:57:28,817 - INFO - Train: [1/10][6/45]	eta 0:00:31	loss 0.0245	
2025-07-10 20:57:28,826 - INFO - Train: [1/10][7/45]	eta 0:00:27	loss 0.0660	
2025-07-10 20:57:28,836 - INFO - Train: [1/10][8/45]	eta 0:00:24	loss 0.0505	
2025-07-10 20:57:28,846 - INFO - Train: [1/10][9/45]	eta 0:00:22	loss 0.0533	
2025-07-10 20:57:28,857 - INFO - Train: [1/10][10/45]	eta 0:00:20	loss 0.0298	
2025-07-10 20:57:28,871 - INFO - Train: [1/10][11/45]	eta 0:00:19	loss 0.0487	
2025-07-10 20:57:28,886 - INFO - Train: [1/10][12/45]	eta 0:00:17	loss 0.0187	
2025-07-10 20:57:28,898 - INFO - Train: [1/10][13/45]	eta 0:00:16	loss 0.0273	
2025-07-10 20:57:28,911 - INFO - Train: [1/10][14/45]	eta 0:00:16	loss 0.0211	
2025-07-10 20:57:28,924 - INFO - Train: [1/10][15/45]	eta 0:00:15	loss 0.0296	
2025-07-10 20:57:28,937 - INFO - Train: [1/10][16/45]	eta 0:00:14	loss 0.0250	
2025-07-10 20:57:28,951 - INFO - Train: [1/10][17/45]	eta 0:00:14	loss 0.0113	
2025-07-10 20:57:28,966 - INFO - Train: [1/10][18/45]	eta 0:00:13	loss 0.0156	
2025-07-10 20:57:28,981 - INFO - Train: [1/10][19/45]	eta 0:00:13	loss 0.0273	
2025-07-10 20:57:28,996 - INFO - Train: [1/10][20/45]	eta 0:00:12	loss 0.0359	
2025-07-10 20:57:29,012 - INFO - Train: [1/10][21/45]	eta 0:00:12	loss 0.0227	
2025-07-10 20:57:29,029 - INFO - Train: [1/10][22/45]	eta 0:00:12	loss 0.0399	
2025-07-10 20:57:29,045 - INFO - Train: [1/10][23/45]	eta 0:00:12	loss 0.0213	
2025-07-10 20:57:29,061 - INFO - Train: [1/10][24/45]	eta 0:00:11	loss 0.0212	
2025-07-10 20:57:29,077 - INFO - Train: [1/10][25/45]	eta 0:00:11	loss 0.0218	
2025-07-10 20:57:29,093 - INFO - Train: [1/10][26/45]	eta 0:00:11	loss 0.0449	
2025-07-10 20:57:29,109 - INFO - Train: [1/10][27/45]	eta 0:00:11	loss 0.0268	
2025-07-10 20:57:29,126 - INFO - Train: [1/10][28/45]	eta 0:00:11	loss 0.0267	
2025-07-10 20:57:29,142 - INFO - Train: [1/10][29/45]	eta 0:00:10	loss 0.0125	
2025-07-10 20:57:29,157 - INFO - Train: [1/10][30/45]	eta 0:00:10	loss 0.0197	
2025-07-10 20:57:29,173 - INFO - Train: [1/10][31/45]	eta 0:00:10	loss 0.0151	
2025-07-10 20:57:29,189 - INFO - Train: [1/10][32/45]	eta 0:00:10	loss 0.0134	
2025-07-10 20:57:29,205 - INFO - Train: [1/10][33/45]	eta 0:00:10	loss 0.0191	
2025-07-10 20:57:29,221 - INFO - Train: [1/10][34/45]	eta 0:00:10	loss 0.0179	
2025-07-10 20:57:29,236 - INFO - Train: [1/10][35/45]	eta 0:00:09	loss 0.0182	
2025-07-10 20:57:29,253 - INFO - Train: [1/10][36/45]	eta 0:00:09	loss 0.0366	
2025-07-10 20:57:29,267 - INFO - Train: [1/10][37/45]	eta 0:00:09	loss 0.0100	
2025-07-10 20:57:29,279 - INFO - Train: [1/10][38/45]	eta 0:00:09	loss 0.0172	
2025-07-10 20:57:29,295 - INFO - Train: [1/10][39/45]	eta 0:00:09	loss 0.0299	
2025-07-10 20:57:29,311 - INFO - Train: [1/10][40/45]	eta 0:00:09	loss 0.0285	
2025-07-10 20:57:29,326 - INFO - Train: [1/10][41/45]	eta 0:00:09	loss 0.0097	
2025-07-10 20:57:29,342 - INFO - Train: [1/10][42/45]	eta 0:00:09	loss 0.0305	
2025-07-10 20:57:29,359 - INFO - Train: [1/10][43/45]	eta 0:00:09	loss 0.0302	
2025-07-10 20:57:29,373 - INFO - Train: [1/10][44/45]	eta 0:00:09	loss 0.0177	
2025-07-10 20:57:29,388 - INFO - Train: [1/10][45/45]	eta 0:00:08	loss 0.0209	
2025-07-10 20:57:29,401 - INFO - Train: [2/10][1/45]	eta 0:00:08	loss 0.0261	
2025-07-10 20:57:29,413 - INFO - Train: [2/10][2/45]	eta 0:00:08	loss 0.0289	
2025-07-10 20:57:29,424 - INFO - Train: [2/10][3/45]	eta 0:00:08	loss 0.0175	
2025-07-10 20:57:29,436 - INFO - Train: [2/10][4/45]	eta 0:00:08	loss 0.0188	
2025-07-10 20:57:29,447 - INFO - Train: [2/10][5/45]	eta 0:00:08	loss 0.0277	
2025-07-10 20:57:29,459 - INFO - Train: [2/10][6/45]	eta 0:00:08	loss 0.0123	
2025-07-10 20:57:29,470 - INFO - Train: [2/10][7/45]	eta 0:00:08	loss 0.0202	
2025-07-10 20:57:29,481 - INFO - Train: [2/10][8/45]	eta 0:00:08	loss 0.0244	
2025-07-10 20:57:29,491 - INFO - Train: [2/10][9/45]	eta 0:00:08	loss 0.0176	
2025-07-10 20:57:29,502 - INFO - Train: [2/10][10/45]	eta 0:00:07	loss 0.0293	
2025-07-10 20:57:29,513 - INFO - Train: [2/10][11/45]	eta 0:00:07	loss 0.0195	
2025-07-10 20:57:29,523 - INFO - Train: [2/10][12/45]	eta 0:00:07	loss 0.0117	
2025-07-10 20:57:29,533 - INFO - Train: [2/10][13/45]	eta 0:00:07	loss 0.0106	
2025-07-10 20:57:29,543 - INFO - Train: [2/10][14/45]	eta 0:00:07	loss 0.0092	
2025-07-10 20:57:29,554 - INFO - Train: [2/10][15/45]	eta 0:00:07	loss 0.0101	
2025-07-10 20:57:29,564 - INFO - Train: [2/10][16/45]	eta 0:00:07	loss 0.0177	
2025-07-10 20:57:29,574 - INFO - Train: [2/10][17/45]	eta 0:00:07	loss 0.0147	
2025-07-10 20:57:29,584 - INFO - Train: [2/10][18/45]	eta 0:00:07	loss 0.0206	
2025-07-10 20:57:29,594 - INFO - Train: [2/10][19/45]	eta 0:00:07	loss 0.0159	
2025-07-10 20:57:29,603 - INFO - Train: [2/10][20/45]	eta 0:00:07	loss 0.0197	
2025-07-10 20:57:29,613 - INFO - Train: [2/10][21/45]	eta 0:00:07	loss 0.0066	
2025-07-10 20:57:29,623 - INFO - Train: [2/10][22/45]	eta 0:00:07	loss 0.0056	
2025-07-10 20:57:29,632 - INFO - Train: [2/10][23/45]	eta 0:00:06	loss 0.0083	
2025-07-10 20:57:29,642 - INFO - Train: [2/10][24/45]	eta 0:00:06	loss 0.0153	
2025-07-10 20:57:29,651 - INFO - Train: [2/10][25/45]	eta 0:00:06	loss 0.0122	
2025-07-10 20:57:29,660 - INFO - Train: [2/10][26/45]	eta 0:00:06	loss 0.0080	
2025-07-10 20:57:29,670 - INFO - Train: [2/10][27/45]	eta 0:00:06	loss 0.0264	
2025-07-10 20:57:29,679 - INFO - Train: [2/10][28/45]	eta 0:00:06	loss 0.0091	
2025-07-10 20:57:29,688 - INFO - Train: [2/10][29/45]	eta 0:00:06	loss 0.0268	
2025-07-10 20:57:29,698 - INFO - Train: [2/10][30/45]	eta 0:00:06	loss 0.0130	
2025-07-10 20:57:29,708 - INFO - Train: [2/10][31/45]	eta 0:00:06	loss 0.0110	
2025-07-10 20:57:29,717 - INFO - Train: [2/10][32/45]	eta 0:00:06	loss 0.0220	
