2025-07-11 14:20:59,135 - INFO - Train: [1/200][1/2]	eta 0:02:11	loss 0.2146	
2025-07-11 14:20:59,148 - INFO - Train: [1/200][2/2]	eta 0:01:08	loss 3.0946	
2025-07-11 14:20:59,194 - INFO - Train: [2/200][1/2]	eta 0:00:51	loss 1.0751	
2025-07-11 14:20:59,199 - INFO - Train: [2/200][2/2]	eta 0:00:39	loss 1.1455	
2025-07-11 14:20:59,217 - INFO - Train: [3/200][1/2]	eta 0:00:32	loss 0.9022	
2025-07-11 14:20:59,222 - INFO - Train: [3/200][2/2]	eta 0:00:27	loss 0.1499	
2025-07-11 14:20:59,241 - INFO - Train: [4/200][1/2]	eta 0:00:24	loss 0.1267	
2025-07-11 14:20:59,247 - INFO - Train: [4/200][2/2]	eta 0:00:21	loss 0.0343	
2025-07-11 14:20:59,263 - INFO - Train: [5/200][1/2]	eta 0:00:19	loss 0.1389	
2025-07-11 14:20:59,272 - INFO - Train: [5/200][2/2]	eta 0:00:18	loss 0.1174	
2025-07-11 14:20:59,283 - INFO - Train: [6/200][1/2]	eta 0:00:16	loss 0.2203	
2025-07-11 14:20:59,292 - INFO - Train: [6/200][2/2]	eta 0:00:15	loss 0.1345	
2025-07-11 14:20:59,310 - INFO - Train: [7/200][1/2]	eta 0:00:15	loss 0.0987	
2025-07-11 14:20:59,321 - INFO - Train: [7/200][2/2]	eta 0:00:14	loss 0.0098	
2025-07-11 14:20:59,342 - INFO - Train: [8/200][1/2]	eta 0:00:13	loss 0.0636	
2025-07-11 14:20:59,352 - INFO - Train: [8/200][2/2]	eta 0:00:13	loss 0.0183	
2025-07-11 14:20:59,366 - INFO - Train: [9/200][1/2]	eta 0:00:12	loss 0.0925	
2025-07-11 14:20:59,377 - INFO - Train: [9/200][2/2]	eta 0:00:12	loss 0.1252	
2025-07-11 14:20:59,393 - INFO - Train: [10/200][1/2]	eta 0:00:11	loss 0.0979	
2025-07-11 14:20:59,404 - INFO - Train: [10/200][2/2]	eta 0:00:11	loss 0.1019	
2025-07-11 14:20:59,421 - INFO - Train: [11/200][1/2]	eta 0:00:11	loss 0.0579	
2025-07-11 14:20:59,433 - INFO - Train: [11/200][2/2]	eta 0:00:10	loss 0.0621	
2025-07-11 14:20:59,462 - INFO - Train: [12/200][1/2]	eta 0:00:10	loss 0.0481	
2025-07-11 14:20:59,473 - INFO - Train: [12/200][2/2]	eta 0:00:10	loss 0.0269	
2025-07-11 14:20:59,490 - INFO - Train: [13/200][1/2]	eta 0:00:10	loss 0.0575	
2025-07-11 14:20:59,503 - INFO - Train: [13/200][2/2]	eta 0:00:10	loss 0.0745	
2025-07-11 14:20:59,520 - INFO - Train: [14/200][1/2]	eta 0:00:09	loss 0.0718	
2025-07-11 14:20:59,532 - INFO - Train: [14/200][2/2]	eta 0:00:09	loss 0.0820	
2025-07-11 14:20:59,548 - INFO - Train: [15/200][1/2]	eta 0:00:09	loss 0.0695	
