2025-07-11 14:20:03,726 - INFO - Train: [1/200][1/2]	eta 0:02:58	loss 0.0946	
2025-07-11 14:20:03,739 - INFO - Train: [1/200][2/2]	eta 0:01:31	loss 0.4446	
2025-07-11 14:20:03,800 - INFO - Train: [2/200][1/2]	eta 0:01:09	loss 0.6899	
2025-07-11 14:20:03,809 - INFO - Train: [2/200][2/2]	eta 0:00:52	loss 0.1325	
2025-07-11 14:20:03,835 - INFO - Train: [3/200][1/2]	eta 0:00:44	loss 0.3645	
2025-07-11 14:20:03,846 - INFO - Train: [3/200][2/2]	eta 0:00:37	loss 0.4213	
2025-07-11 14:20:03,871 - INFO - Train: [4/200][1/2]	eta 0:00:33	loss 0.0480	
2025-07-11 14:20:03,882 - INFO - Train: [4/200][2/2]	eta 0:00:29	loss 0.0846	
2025-07-11 14:20:03,897 - INFO - Train: [5/200][1/2]	eta 0:00:26	loss 0.2226	
2025-07-11 14:20:03,909 - INFO - Train: [5/200][2/2]	eta 0:00:24	loss 0.1160	
2025-07-11 14:20:03,926 - INFO - Train: [6/200][1/2]	eta 0:00:22	loss 0.1144	
2025-07-11 14:20:03,938 - INFO - Train: [6/200][2/2]	eta 0:00:21	loss 0.0078	
2025-07-11 14:20:03,956 - INFO - Train: [7/200][1/2]	eta 0:00:20	loss 0.0694	
2025-07-11 14:20:03,968 - INFO - Train: [7/200][2/2]	eta 0:00:19	loss 0.0791	
2025-07-11 14:20:03,987 - INFO - Train: [8/200][1/2]	eta 0:00:18	loss 0.1486	
2025-07-11 14:20:04,000 - INFO - Train: [8/200][2/2]	eta 0:00:17	loss 0.1731	
2025-07-11 14:20:04,018 - INFO - Train: [9/200][1/2]	eta 0:00:16	loss 0.0740	
2025-07-11 14:20:04,030 - INFO - Train: [9/200][2/2]	eta 0:00:15	loss 0.0337	
2025-07-11 14:20:04,062 - INFO - Train: [10/200][1/2]	eta 0:00:15	loss 0.0516	
2025-07-11 14:20:04,073 - INFO - Train: [10/200][2/2]	eta 0:00:15	loss 0.0481	
2025-07-11 14:20:04,091 - INFO - Train: [11/200][1/2]	eta 0:00:14	loss 0.0641	
2025-07-11 14:20:04,104 - INFO - Train: [11/200][2/2]	eta 0:00:14	loss 0.0162	
2025-07-11 14:20:04,121 - INFO - Train: [12/200][1/2]	eta 0:00:13	loss 0.0568	
2025-07-11 14:20:04,133 - INFO - Train: [12/200][2/2]	eta 0:00:13	loss 0.1456	
2025-07-11 14:20:04,165 - INFO - Train: [13/200][1/2]	eta 0:00:13	loss 0.0458	
2025-07-11 14:20:04,177 - INFO - Train: [13/200][2/2]	eta 0:00:12	loss 0.0032	
2025-07-11 14:20:04,194 - INFO - Train: [14/200][1/2]	eta 0:00:12	loss 0.0461	
2025-07-11 14:20:04,207 - INFO - Train: [14/200][2/2]	eta 0:00:12	loss 0.0980	
2025-07-11 14:20:04,226 - INFO - Train: [15/200][1/2]	eta 0:00:12	loss 0.0629	
2025-07-11 14:20:04,240 - INFO - Train: [15/200][2/2]	eta 0:00:11	loss 0.0002	
2025-07-11 14:20:04,260 - INFO - Train: [16/200][1/2]	eta 0:00:11	loss 0.0629	
2025-07-11 14:20:04,274 - INFO - Train: [16/200][2/2]	eta 0:00:11	loss 0.2449	
2025-07-11 14:20:04,294 - INFO - Train: [17/200][1/2]	eta 0:00:11	loss 0.0519	
2025-07-11 14:20:04,307 - INFO - Train: [17/200][2/2]	eta 0:00:11	loss 0.0001	
2025-07-11 14:20:04,341 - INFO - Train: [18/200][1/2]	eta 0:00:11	loss 0.0416	
2025-07-11 14:20:04,354 - INFO - Train: [18/200][2/2]	eta 0:00:10	loss 0.0324	
2025-07-11 14:20:04,372 - INFO - Train: [19/200][1/2]	eta 0:00:10	loss 0.0589	
2025-07-11 14:20:04,385 - INFO - Train: [19/200][2/2]	eta 0:00:10	loss 0.0166	
2025-07-11 14:20:04,406 - INFO - Train: [20/200][1/2]	eta 0:00:10	loss 0.0514	
2025-07-11 14:20:04,419 - INFO - Train: [20/200][2/2]	eta 0:00:10	loss 0.0101	
2025-07-11 14:20:04,453 - INFO - Train: [21/200][1/2]	eta 0:00:10	loss 0.0464	
2025-07-11 14:20:04,465 - INFO - Train: [21/200][2/2]	eta 0:00:10	loss 0.0628	
2025-07-11 14:20:04,486 - INFO - Train: [22/200][1/2]	eta 0:00:10	loss 0.0477	
2025-07-11 14:20:04,498 - INFO - Train: [22/200][2/2]	eta 0:00:09	loss 0.0263	
2025-07-11 14:20:04,515 - INFO - Train: [23/200][1/2]	eta 0:00:09	loss 0.0481	
2025-07-11 14:20:04,528 - INFO - Train: [23/200][2/2]	eta 0:00:09	loss 0.0515	
2025-07-11 14:20:04,547 - INFO - Train: [24/200][1/2]	eta 0:00:09	loss 0.0536	
2025-07-11 14:20:04,558 - INFO - Train: [24/200][2/2]	eta 0:00:09	loss 0.0102	
2025-07-11 14:20:04,572 - INFO - Train: [25/200][1/2]	eta 0:00:09	loss 0.0464	
2025-07-11 14:20:04,584 - INFO - Train: [25/200][2/2]	eta 0:00:09	loss 0.0621	
2025-07-11 14:20:04,603 - INFO - Train: [26/200][1/2]	eta 0:00:09	loss 0.0559	
2025-07-11 14:20:04,616 - INFO - Train: [26/200][2/2]	eta 0:00:08	loss 0.0256	
2025-07-11 14:20:04,632 - INFO - Train: [27/200][1/2]	eta 0:00:08	loss 0.0416	
2025-07-11 14:20:04,644 - INFO - Train: [27/200][2/2]	eta 0:00:08	loss 0.0296	
2025-07-11 14:20:04,663 - INFO - Train: [28/200][1/2]	eta 0:00:08	loss 0.0407	
2025-07-11 14:20:04,676 - INFO - Train: [28/200][2/2]	eta 0:00:08	loss 0.0881	
2025-07-11 14:20:04,708 - INFO - Train: [29/200][1/2]	eta 0:00:08	loss 0.0451	
2025-07-11 14:20:04,720 - INFO - Train: [29/200][2/2]	eta 0:00:08	loss 0.0061	
2025-07-11 14:20:04,736 - INFO - Train: [30/200][1/2]	eta 0:00:08	loss 0.0410	
2025-07-11 14:20:04,748 - INFO - Train: [30/200][2/2]	eta 0:00:08	loss 0.0549	
2025-07-11 14:20:04,767 - INFO - Train: [31/200][1/2]	eta 0:00:08	loss 0.0478	
2025-07-11 14:20:04,780 - INFO - Train: [31/200][2/2]	eta 0:00:08	loss 0.0344	
2025-07-11 14:20:04,801 - INFO - Train: [32/200][1/2]	eta 0:00:08	loss 0.0448	
2025-07-11 14:20:04,814 - INFO - Train: [32/200][2/2]	eta 0:00:08	loss 0.0660	
2025-07-11 14:20:04,835 - INFO - Train: [33/200][1/2]	eta 0:00:08	loss 0.0401	
2025-07-11 14:20:04,849 - INFO - Train: [33/200][2/2]	eta 0:00:07	loss 0.0260	
2025-07-11 14:20:04,870 - INFO - Train: [34/200][1/2]	eta 0:00:07	loss 0.0489	
2025-07-11 14:20:04,884 - INFO - Train: [34/200][2/2]	eta 0:00:07	loss 0.0329	
2025-07-11 14:20:04,906 - INFO - Train: [35/200][1/2]	eta 0:00:07	loss 0.0651	
