2025-07-11 14:23:21,650 - INFO - Train: [32/200][1/2]	eta 0:00:10	loss 0.0519	
2025-07-11 14:23:21,675 - INFO - Train: [32/200][2/2]	eta 0:00:10	loss 0.0096	
2025-07-11 14:23:21,711 - INFO - Train: [33/200][1/2]	eta 0:00:10	loss 0.0578	
2025-07-11 14:23:21,735 - INFO - Train: [33/200][2/2]	eta 0:00:10	loss 0.1090	
2025-07-11 14:23:21,772 - INFO - Train: [34/200][1/2]	eta 0:00:10	loss 0.0658	
2025-07-11 14:23:21,797 - INFO - Train: [34/200][2/2]	eta 0:00:10	loss 0.0540	
2025-07-11 14:23:21,833 - INFO - Train: [35/200][1/2]	eta 0:00:10	loss 0.0351	
2025-07-11 14:23:21,858 - INFO - Train: [35/200][2/2]	eta 0:00:10	loss 0.1173	
2025-07-11 14:23:21,892 - INFO - Train: [36/200][1/2]	eta 0:00:10	loss 0.0506	
2025-07-11 14:23:21,917 - INFO - Train: [36/200][2/2]	eta 0:00:10	loss 0.1277	
2025-07-11 14:23:21,952 - INFO - Train: [37/200][1/2]	eta 0:00:10	loss 0.0441	
2025-07-11 14:23:21,977 - INFO - Train: [37/200][2/2]	eta 0:00:10	loss 0.0746	
2025-07-11 14:23:22,013 - INFO - Train: [38/200][1/2]	eta 0:00:10	loss 0.0585	
2025-07-11 14:23:22,037 - INFO - Train: [38/200][2/2]	eta 0:00:10	loss 0.0077	
2025-07-11 14:23:22,073 - INFO - Train: [39/200][1/2]	eta 0:00:10	loss 0.0692	
2025-07-11 14:23:22,098 - INFO - Train: [39/200][2/2]	eta 0:00:10	loss 0.0800	
2025-07-11 14:23:22,132 - INFO - Train: [40/200][1/2]	eta 0:00:10	loss 0.0610	
2025-07-11 14:23:22,156 - INFO - Train: [40/200][2/2]	eta 0:00:10	loss 0.1612	
2025-07-11 14:23:22,190 - INFO - Train: [41/200][1/2]	eta 0:00:10	loss 0.0606	
2025-07-11 14:23:22,214 - INFO - Train: [41/200][2/2]	eta 0:00:09	loss 0.0329	
2025-07-11 14:23:22,249 - INFO - Train: [42/200][1/2]	eta 0:00:09	loss 0.0532	
2025-07-11 14:23:22,288 - INFO - Train: [42/200][2/2]	eta 0:00:09	loss 0.0691	
2025-07-11 14:23:22,326 - INFO - Train: [43/200][1/2]	eta 0:00:09	loss 0.0490	
