2025-07-10 20:57:44,221 - INFO - Train: [1/10][1/45]	eta 0:03:15	loss 0.9754	
2025-07-10 20:57:44,231 - INFO - Train: [1/10][2/45]	eta 0:01:39	loss 0.2416	
2025-07-10 20:57:44,239 - INFO - Train: [1/10][3/45]	eta 0:01:07	loss 0.0447	
2025-07-10 20:57:44,250 - INFO - Train: [1/10][4/45]	eta 0:00:51	loss 0.0725	
2025-07-10 20:57:44,260 - INFO - Train: [1/10][5/45]	eta 0:00:42	loss 0.1416	
2025-07-10 20:57:44,270 - INFO - Train: [1/10][6/45]	eta 0:00:35	loss 0.2748	
2025-07-10 20:57:44,280 - INFO - Train: [1/10][7/45]	eta 0:00:31	loss 0.1825	
2025-07-10 20:57:44,291 - INFO - Train: [1/10][8/45]	eta 0:00:27	loss 0.1368	
2025-07-10 20:57:44,303 - INFO - Train: [1/10][9/45]	eta 0:00:25	loss 0.0973	
2025-07-10 20:57:44,315 - INFO - Train: [1/10][10/45]	eta 0:00:23	loss 0.0440	
2025-07-10 20:57:44,328 - INFO - Train: [1/10][11/45]	eta 0:00:21	loss 0.0185	
2025-07-10 20:57:44,341 - INFO - Train: [1/10][12/45]	eta 0:00:20	loss 0.0188	
2025-07-10 20:57:44,355 - INFO - Train: [1/10][13/45]	eta 0:00:19	loss 0.0083	
2025-07-10 20:57:44,370 - INFO - Train: [1/10][14/45]	eta 0:00:18	loss 0.0331	
2025-07-10 20:57:44,385 - INFO - Train: [1/10][15/45]	eta 0:00:17	loss 0.0777	
2025-07-10 20:57:44,401 - INFO - Train: [1/10][16/45]	eta 0:00:16	loss 0.0625	
2025-07-10 20:57:44,418 - INFO - Train: [1/10][17/45]	eta 0:00:16	loss 0.0774	
2025-07-10 20:57:44,435 - INFO - Train: [1/10][18/45]	eta 0:00:15	loss 0.0465	
2025-07-10 20:57:44,452 - INFO - Train: [1/10][19/45]	eta 0:00:15	loss 0.0349	
2025-07-10 20:57:44,469 - INFO - Train: [1/10][20/45]	eta 0:00:14	loss 0.0377	
2025-07-10 20:57:44,489 - INFO - Train: [1/10][21/45]	eta 0:00:14	loss 0.0423	
2025-07-10 20:57:44,507 - INFO - Train: [1/10][22/45]	eta 0:00:14	loss 0.0195	
2025-07-10 20:57:44,524 - INFO - Train: [1/10][23/45]	eta 0:00:13	loss 0.0158	
2025-07-10 20:57:44,542 - INFO - Train: [1/10][24/45]	eta 0:00:13	loss 0.0248	
2025-07-10 20:57:44,560 - INFO - Train: [1/10][25/45]	eta 0:00:13	loss 0.0224	
2025-07-10 20:57:44,578 - INFO - Train: [1/10][26/45]	eta 0:00:12	loss 0.0273	
2025-07-10 20:57:44,596 - INFO - Train: [1/10][27/45]	eta 0:00:12	loss 0.0441	
2025-07-10 20:57:44,614 - INFO - Train: [1/10][28/45]	eta 0:00:12	loss 0.0366	
2025-07-10 20:57:44,631 - INFO - Train: [1/10][29/45]	eta 0:00:12	loss 0.0259	
2025-07-10 20:57:44,649 - INFO - Train: [1/10][30/45]	eta 0:00:12	loss 0.0344	
2025-07-10 20:57:44,666 - INFO - Train: [1/10][31/45]	eta 0:00:11	loss 0.0235	
2025-07-10 20:57:44,684 - INFO - Train: [1/10][32/45]	eta 0:00:11	loss 0.0111	
2025-07-10 20:57:44,701 - INFO - Train: [1/10][33/45]	eta 0:00:11	loss 0.0107	
2025-07-10 20:57:44,719 - INFO - Train: [1/10][34/45]	eta 0:00:11	loss 0.0558	
2025-07-10 20:57:44,736 - INFO - Train: [1/10][35/45]	eta 0:00:11	loss 0.0439	
2025-07-10 20:57:44,754 - INFO - Train: [1/10][36/45]	eta 0:00:11	loss 0.0422	
2025-07-10 20:57:44,771 - INFO - Train: [1/10][37/45]	eta 0:00:10	loss 0.0252	
2025-07-10 20:57:44,789 - INFO - Train: [1/10][38/45]	eta 0:00:10	loss 0.0155	
2025-07-10 20:57:44,806 - INFO - Train: [1/10][39/45]	eta 0:00:10	loss 0.0291	
2025-07-10 20:57:44,824 - INFO - Train: [1/10][40/45]	eta 0:00:10	loss 0.0351	
2025-07-10 20:57:44,842 - INFO - Train: [1/10][41/45]	eta 0:00:10	loss 0.0243	
2025-07-10 20:57:44,859 - INFO - Train: [1/10][42/45]	eta 0:00:10	loss 0.0184	
2025-07-10 20:57:44,892 - INFO - Train: [1/10][43/45]	eta 0:00:10	loss 0.0174	
2025-07-10 20:57:44,910 - INFO - Train: [1/10][44/45]	eta 0:00:10	loss 0.0286	
2025-07-10 20:57:44,932 - INFO - Train: [1/10][45/45]	eta 0:00:10	loss 0.0184	
2025-07-10 20:57:44,950 - INFO - Train: [2/10][1/45]	eta 0:00:10	loss 0.0152	
2025-07-10 20:57:44,968 - INFO - Train: [2/10][2/45]	eta 0:00:10	loss 0.0273	
2025-07-10 20:57:44,986 - INFO - Train: [2/10][3/45]	eta 0:00:10	loss 0.0071	
2025-07-10 20:57:45,004 - INFO - Train: [2/10][4/45]	eta 0:00:09	loss 0.0197	
2025-07-10 20:57:45,022 - INFO - Train: [2/10][5/45]	eta 0:00:09	loss 0.0241	
2025-07-10 20:57:45,039 - INFO - Train: [2/10][6/45]	eta 0:00:09	loss 0.0127	
2025-07-10 20:57:45,058 - INFO - Train: [2/10][7/45]	eta 0:00:09	loss 0.0233	
2025-07-10 20:57:45,076 - INFO - Train: [2/10][8/45]	eta 0:00:09	loss 0.0239	
2025-07-10 20:57:45,093 - INFO - Train: [2/10][9/45]	eta 0:00:09	loss 0.0095	
2025-07-10 20:57:45,111 - INFO - Train: [2/10][10/45]	eta 0:00:09	loss 0.0154	
2025-07-10 20:57:45,129 - INFO - Train: [2/10][11/45]	eta 0:00:09	loss 0.0285	
