2025-07-11 14:21:26,488 - INFO - Train: [32/200][1/2]	eta 0:00:06	loss 0.0403	
2025-07-11 14:21:26,495 - INFO - Train: [32/200][2/2]	eta 0:00:06	loss 0.0392	
2025-07-11 14:21:26,507 - INFO - Train: [33/200][1/2]	eta 0:00:06	loss 0.0412	
2025-07-11 14:21:26,514 - INFO - Train: [33/200][2/2]	eta 0:00:05	loss 0.0131	
2025-07-11 14:21:26,526 - INFO - Train: [34/200][1/2]	eta 0:00:05	loss 0.0397	
2025-07-11 14:21:26,533 - INFO - Train: [34/200][2/2]	eta 0:00:05	loss 0.0240	
2025-07-11 14:21:26,546 - INFO - Train: [35/200][1/2]	eta 0:00:05	loss 0.0389	
2025-07-11 14:21:26,553 - INFO - Train: [35/200][2/2]	eta 0:00:05	loss 0.0371	
2025-07-11 14:21:26,565 - INFO - Train: [36/200][1/2]	eta 0:00:05	loss 0.0362	
2025-07-11 14:21:26,572 - INFO - Train: [36/200][2/2]	eta 0:00:05	loss 0.1036	
2025-07-11 14:21:26,584 - INFO - Train: [37/200][1/2]	eta 0:00:05	loss 0.0370	
2025-07-11 14:21:26,591 - INFO - Train: [37/200][2/2]	eta 0:00:05	loss 0.0248	
2025-07-11 14:21:26,613 - INFO - Train: [38/200][1/2]	eta 0:00:05	loss 0.0343	
2025-07-11 14:21:26,620 - INFO - Train: [38/200][2/2]	eta 0:00:05	loss 0.0760	
2025-07-11 14:21:26,641 - INFO - Train: [39/200][1/2]	eta 0:00:05	loss 0.0376	
2025-07-11 14:21:26,648 - INFO - Train: [39/200][2/2]	eta 0:00:05	loss 0.0209	
2025-07-11 14:21:26,660 - INFO - Train: [40/200][1/2]	eta 0:00:05	loss 0.0375	
2025-07-11 14:21:26,667 - INFO - Train: [40/200][2/2]	eta 0:00:05	loss 0.1625	
2025-07-11 14:21:26,679 - INFO - Train: [41/200][1/2]	eta 0:00:05	loss 0.0450	
2025-07-11 14:21:26,686 - INFO - Train: [41/200][2/2]	eta 0:00:05	loss 0.0027	
2025-07-11 14:21:26,699 - INFO - Train: [42/200][1/2]	eta 0:00:05	loss 0.0431	
2025-07-11 14:21:26,706 - INFO - Train: [42/200][2/2]	eta 0:00:05	loss 0.0574	
2025-07-11 14:21:26,718 - INFO - Train: [43/200][1/2]	eta 0:00:05	loss 0.0418	
2025-07-11 14:21:26,726 - INFO - Train: [43/200][2/2]	eta 0:00:05	loss 0.0435	
2025-07-11 14:21:26,738 - INFO - Train: [44/200][1/2]	eta 0:00:05	loss 0.0408	
2025-07-11 14:21:26,746 - INFO - Train: [44/200][2/2]	eta 0:00:04	loss 0.0018	
2025-07-11 14:21:26,759 - INFO - Train: [45/200][1/2]	eta 0:00:04	loss 0.0391	
2025-07-11 14:21:26,766 - INFO - Train: [45/200][2/2]	eta 0:00:04	loss 0.0042	
2025-07-11 14:21:26,779 - INFO - Train: [46/200][1/2]	eta 0:00:04	loss 0.0340	
2025-07-11 14:21:26,786 - INFO - Train: [46/200][2/2]	eta 0:00:04	loss 0.1281	
2025-07-11 14:21:26,807 - INFO - Train: [47/200][1/2]	eta 0:00:04	loss 0.0362	
2025-07-11 14:21:26,814 - INFO - Train: [47/200][2/2]	eta 0:00:04	loss 0.0220	
2025-07-11 14:21:26,827 - INFO - Train: [48/200][1/2]	eta 0:00:04	loss 0.0368	
2025-07-11 14:21:26,834 - INFO - Train: [48/200][2/2]	eta 0:00:04	loss 0.0258	
2025-07-11 14:21:26,846 - INFO - Train: [49/200][1/2]	eta 0:00:04	loss 0.0371	
